GO DATA PROCESSING RESULTS
==========================
task=01 input=3 output=9 worker=go-worker-4
task=02 input=4 output=16 worker=go-worker-2
task=03 input=5 output=25 worker=go-worker-1
task=04 input=6 output=36 worker=go-worker-3
task=05 input=7 output=49 worker=go-worker-3
task=06 input=8 output=64 worker=go-worker-1
task=07 input=9 output=81 worker=go-worker-4
task=08 input=10 output=100 worker=go-worker-2
task=09 input=11 output=121 worker=go-worker-3
task=10 input=12 output=144 worker=go-worker-4
task=11 input=13 output=169 worker=go-worker-1
task=12 input=14 output=196 worker=go-worker-2
task=13 input=15 output=225 worker=go-worker-1
task=14 input=16 output=256 worker=go-worker-3
task=15 input=17 output=289 worker=go-worker-4
task=16 input=18 output=324 worker=go-worker-2
